STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGB,FRGB_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,FRTH,FRTH_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,THIC,THIC_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/1/2022,,,,,27,",,W",29.84,",,W",28.85,",,W",28,",,W",11.41,",,W",,,,,,,,,,,,,0.19,",,W,2400",,,88,",,W",78,",,W",93,",,W",1.8,",,W,2400",0,",,W,2400",33,"H,,S",,,36,",,W",19,",,W",,,,,20,",,W",10,",,W",,,,,,,,,19.9,",,W",32,",,W",,,,,1,",,W",1,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/2/2022,,,,,8,",,W",30.13,",,W",29.1,",,W",15,",,W",6.93,",,W",,,,,,,,,,,,,0.09,",,W,2400",,,70,",,W",50,",,W",84,",,W",2.6,",,W,2400",5.1,",,W,2400",20,"H,,S",,,22,",,W",7,",,W",,,,,350,",,W",20,",,W",,,,,,,,,15,",,W",21,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/3/2022,,,,,9,",,W",30.32,",,W",29.33,",,W",16,",,W",7.16,",,W",,,,,,,,,,,,,0,",,W,2400",,,68,",,W",54,",,W",88,",,W",0,",,W,2400",3.9,",,W,2400",15,"H,,S",,,28,",,W",6,",,W",,,,,230,",,W",240,",,W",,,,,,,,,17,",,W",25.1,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/4/2022,,,,,18,",,W",30.04,",,W",29.13,",,W",25,",,W",11.86,",,W",,,,,,,,,,,,,0,",,W,2400",,,65,",,W",52,",,W",75,",,W",0,",,W,2400",3.9,",,W,2400",25,"H,,S",,,36,",,W",20,",,W",,,,,170,",,W",150,",,W",,,,,,,,,17,",,W",25.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/5/2022,,,,,18,",,W",29.61,",,W",28.64,",,W",23,",,W",18.12,",,W",,,,,,,,,,,,,0.05,",,W,2400",,,73,",,W",62,",,W",82,",,W",1,",,W,2400",3.1,",,W,2400",31,"H,,S",,,36,",,W",15,",,W",,,,,240,",,W",250,",,W",,,,,,,,,31.1,",,W",42.9,",,W",,,,,,,,,,,,,,,1,",,W",,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/6/2022,,,,,13,",,W",29.94,",,W",28.95,",,W",17,",,W",12.75,",,W",,,,,,,,,,,,,0.04,",,W,2400",,,77,",,W",68,",,W",84,",,W",1,",,W,2400",3.9,",,W,2400",19,"H,,S",,,22,",,W",11,",,W",,,,,220,",,W",240,",,W",,,,,,,,,21.9,",,W",31.1,",,W",,,,,,,,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/7/2022,,,,,4,",,W",30.25,",,W",29.21,",,W",10,",,W",4.47,",,W",,,,,,,,,,,,,0,",,W,2400",,,72,",,W",50,",,W",84,",,W",0,"T,,W,2400",3.9,",,W,2400",13,"H,,S",,,21,",,W",3,",,W",,,,,290,",,W",300,",,W",,,,,,,,,12.1,",,W",15,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/8/2022,,,,,13,",,W",30.25,",,W",29.29,",,W",20,",,W",12.08,",,W",,,,,,,,,,,,,0.01,",,W,2400",,,67,",,W",51,",,W",89,",,W",0,",,W,2400",3.9,",,W,2400",17,"H,,S",,,34,",,W",8,",,W",,,,,160,",,W",170,",,W",,,,,,,,,23.9,",,W",31.1,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/9/2022,,,,,19,",,W",30.15,",,W",29.14,",,W",24,",,W",15.21,",,W",,,,,,,,,,,,,0,",,W,2400",,,71,",,W",54,",,W",89,",,W",0,",,W,2400",3.9,",,W,2400",31,"H,,S",,,36,",,W",13,",,W",,,,,290,",,W",290,",,W",,,,,,,,,30,",,W",42.9,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/10/2022,,,,,3,",,W",30.43,",,W",29.41,",,W",11,",,W",14.54,",,W",,,,,,,,,,,,,0,"T,,W,2400",,,63,",,W",58,",,W",71,",,W",0,"T,,W,2400",3.1,",,W,2400",15,"H,,S",,,17,",,W",6,",,W",,,,,260,",,W",260,",,W",,,,,,,,,29.1,",,W",35.1,",,W",,,,,,,,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/11/2022,,,,,6,",,W",30.33,",,W",29.39,",,W",15,",,W",13.42,",,W",,,,,,,,,,,,,0,",,W,2400",,,62,",,W",53,",,W",73,",,W",0,",,W,2400",2,",,W,2400",13,"H,,S",,,31,",,W",4,",,W",,,,,190,",,W",190,",,W",,,,,,,,,29.1,",,W",42.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/12/2022,,,,,28,",,W",29.96,",,W",28.99,",,W",33,",,W",9.4,",,W",,,,,,,,,,,,,0.01,",,W,2400",,,76,",,W",64,",,W",82,",,W",0,"T,,W,2400",2,",,W,2400",34,"H,,S",,,39,",,W",30,",,W",,,,,230,",,W",250,",,W",,,,,,,,,23,",,W",33.1,",,W",,,,,,,,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/13/2022,,,,,28,",,W",29.96,",,W",28.99,",,W",30,",,W",4.25,",,W",,,,,,,,,,,,,0,",,W,2400",,,85,",,W",78,",,W",92,",,W",0,",,W,2400",1.2,",,W,2400",33,"H,,S",,,36,",,W",29,",,W",,,,,330,",,W",30,",,W",,,,,,,,,10.1,",,W",14.1,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/14/2022,,,,,16,",,W",30.25,",,W",29.23,",,W",21,",,W",11.41,",,W",,,,,,,,,,,,,0,"T,,W,2400",,,75,",,W",65,",,W",85,",,W",0,"T,,W,2400",0,"T,,W,2400",26,"H,,S",,,32,",,W",13,",,W",,,,,60,",,W",60,",,W",,,,,,,,,21,",,W",30,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/15/2022,,,,,4,",,W",30.43,",,W",29.44,",,W",12,",,W",8.72,",,W",,,,,,,,,,,,,0,",,W,2400",,,66,",,W",51,",,W",80,",,W",0,",,W,2400",0,"T,,W,2400",15,"H,,S",,,20,",,W",8,",,W",,,,,40,",,W",30,",,W",,,,,,,,,17,",,W",21.9,",,W",,,,,,,,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/16/2022,,,,,7,",,W",30,",,W",29.02,",,W",14,",,W",3.13,",,W",,,,,,,,,,,,,0,",,W,2400",,,67,",,W",45,",,W",76,",,W",0,",,W,2400",0,"T,,W,2400",14,"H,,S",,,32,",,W",4,",,W",,,,,340,",,W",360,",,W",,,,,,,,,8.9,",,W",12.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/17/2022,,,,,18,",,W",29.71,",,W",28.72,",,W",23,",,W",10.96,",,W",,,,,,,,,,,,,0,"T,,W,2400",,,73,",,W",60,",,W",82,",,W",0,"T,,W,2400",0,"T,,W,2400",24,"H,,S",,,31,",,W",19,",,W",,,,,320,",,W",290,",,W",,,,,,,,,19.9,",,W",29.1,",,W",,,,,,,,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/18/2022,,,,,22,",,W",29.9,",,W",28.95,",,W",29,",,W",11.63,",,W",,,,,,,,,,,,,0,",,W,2400",,,67,",,W",59,",,W",75,",,W",0,"T,,W,2400",0,"T,,W,2400",30,"H,,S",,,40,",,W",28,",,W",,,,,210,",,W",210,",,W",,,,,,,,,23,",,W",35.1,",,W",,,,,,,,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/19/2022,,,,,19,",,W",29.94,",,W",28.92,",,W",27,",,W",16.55,",,W",,,,,,,,,,,,,0,"T,,W,2400",,,64,",,W",51,",,W",70,",,W",0,"T,,W,2400",0,"T,,W,2400",34,"H,,S",,,42,",,W",19,",,W",,,,,270,",,W",200,",,W",,,,,,,,,28,",,W",42.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/20/2022,,,,,3,",,W",30.5,",,W",29.47,",,W",15,",,W",6.93,",,W",,,,,,,,,,,,,0,"T,,W,2400",,,52,",,W",43,",,W",59,",,W",0,"T,,W,2400",0,"T,,W,2400",19,"H,,S",,,20,",,W",17,",,W",,,,,330,",,W",340,",,W",,,,,,,,,14.1,",,W",21,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/21/2022,,,,,6,",,W",30.57,",,W",29.59,",,W",15,",,W",4.47,",,W",,,,,,,,,,,,,0,"T,,W,2400",,,57,",,W",46,",,W",68,",,W",0,"T,,W,2400",1.2,",,W,2400",19,"H,,S",,,23,",,W",16,",,W",,,,,180,",,W",170,",,W",,,,,,,,,14.1,",,W",17,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/22/2022,,,,,13,",,W",30.16,",,W",29.22,",,W",19,",,W",12.3,",,W",,,,,,,,,,,,,0.01,",,W,2400",,,71,",,W",62,",,W",85,",,W",0.3,",,W,2400",1.2,",,W,2400",20,"H,,S",,,26,",,W",16,",,W",,,,,230,",,W",230,",,W",,,,,,,,,23.9,",,W",33.1,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/23/2022,,,,,9,",,W",29.94,",,W",28.97,",,W",16,",,W",7.16,",,W",,,,,,,,,,,,,0.09,",,W,2400",,,67,",,W",51,",,W",82,",,W",1.8,",,W,2400",2,",,W,2400",20,"H,,S",,,23,",,W",13,",,W",,,,,40,",,W",10,",,W",,,,,,,,,15,",,W",21,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/24/2022,,,,,13,",,W",29.76,",,W",28.78,",,W",18,",,W",8.5,",,W",,,,,,,,,,,,,0.12,",,W,2400",,,74,",,W",62,",,W",81,",,W",1.9,",,W,2400",2,",,W,2400",18,"H,,S",,,26,",,W",16,",,W",,,,,180,",,W",170,",,W",,,,,,,,,14.1,",,W",19.9,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/25/2022,,,,,7,",,W",30.17,",,W",29.13,",,W",14,",,W",6.93,",,W",,,,,,,,,,,,,0,"T,,W,2400",,,68,",,W",50,",,W",84,",,W",0,"T,,W,2400",3.9,",,W,2400",18,"H,,S",,,22,",,W",11,",,W",,,,,270,",,W",280,",,W",,,,,,,,,15,",,W",21,",,W",,,,,1,",,W",,,,,,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,261.2,1/26/2022,,,,,1,",,W",30.39,",,W",29.39,",,W",9,",,W",8.05,",,W",,,,,,,,,,,,,0,",,W,2400",,,64,",,W",49,",,W",84,",,W",0,",,W,2400",3.9,",,W,2400",13,"H,,S",,,20,",,W",2,",,W",,,,,200,",,W",190,",,W",,,,,,,,,17,",,W",23,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
