period,subba,subba-name,parent,parent-name,value,value-units
2024-12-31T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17928,megawatthours
2024-12-30T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17504,megawatthours
2024-12-30T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16786,megawatthours
2024-12-30T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16634,megawatthours
2024-12-30T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16730,megawatthours
2024-12-30T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16911,megawatthours
2024-12-30T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17047,megawatthours
2024-12-30T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17189,megawatthours
2024-12-30T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17280,megawatthours
2024-12-30T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17185,megawatthours
2024-12-30T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16895,megawatthours
2024-12-30T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16227,megawatthours
2024-12-30T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15242,megawatthours
2024-12-30T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14471,megawatthours
2024-12-30T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14312,megawatthours
2024-12-30T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14180,megawatthours
2024-12-30T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14505,megawatthours
2024-12-30T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15268,megawatthours
2024-12-30T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15611,megawatthours
